datetime_start,datetime_end,alert_type,category,location
20210708 10:30, 20210708 11:30,alert-warning,office-hours.ptl
20210709 10:30, 20210709 11:30,alert-warning,office-hours.ptl
20210712 10:30, 20210712 11:30,alert-warning,office-hours.ptl
20210713 10:30, 20210713 11:30,alert-warning,office-hours.ptl
20210714 10:30, 20210714 11:30,alert-warning,office-hours.ptl
20210715 10:30, 20210715 11:30,alert-warning,office-hours.ptl
20210715 12:30, 20210715 15:00,alert-primary,final-project-work-time.ptl
20210701 13:00, 20210701 14:30,alert-primary,social-activity.ptl
20210709 13:00, 20210709 14:30,alert-primary,social-activity.ptl
20210716 09:45, 20210716 11:30,alert-primary,social-activity.ptl
20210716 09:00, 20210716 09:45,alert-success,quickstart+section.ptl
